x,y,value
99,119,0.12149941076037483
96,44,0.07947432158261533
142,78,0.13323153195362683
68,29,0.07658502033207006
132,114,0.10249119832528043
151,110,0.16764308253339913
128,122,0.1726766397777045
121,121,0.12352613510826749
154,3,0.07896567853884572
144,107,0.10571144054925453
115,112,0.14164146861847454
106,69,0.13466624296164864
108,41,0.13305161326536066
112,70,0.1469357733236123
111,116,0.1022993761636305
107,30,0.0668624757553728
97,69,0.1453707596644184
151,68,0.1354075886727192
99,120,0.11589308486182068
114,96,0.14645826974982804
110,109,0.13688138437235556
150,90,0.1390214463151904
133,48,0.10807281091745638
106,11,0.06449233655494087
151,69,0.1296629145869519
100,123,0.10428336456413886
113,122,0.06113525906430122
96,61,0.1498862816248373
115,15,0.07134000989508564
74,102,0.10185343261225961
144,81,0.1364901819655525
103,26,0.07343162811823085
111,109,0.14340148871245395
97,7,0.06785127052940994
101,74,0.11917995201673254
78,111,0.10038914657268612
140,114,0.047842952989503404
82,81,0.10064075074170939
151,111,0.16584082809445425
94,29,0.060456489135743696
145,110,0.11640340649360176
101,45,0.11801038970441292
104,43,0.122920346405226
76,14,0.06255395439028608
109,125,0.037681869091702964
113,32,0.05702443708337723
128,41,0.11209320348458865
110,58,0.11121557170603864
60,73,0.0530983431215049
127,111,0.10376690725484639
87,105,0.03524566571732457
60,54,0.10346115688560747
107,84,0.07827278690110517
86,77,0.07088712399081679
116,28,0.08986634658506133
105,95,0.14737671163900457
101,113,0.10541042912278316
149,53,0.11626196647790116
109,136,0.0716168668863051
96,32,0.093505575590298
101,112,0.10534123270365202
147,53,0.12993554191359125
108,61,0.12801414530179756
86,86,0.08659549991102014
138,45,0.0920239702616563
109,22,0.060537746806952265
68,55,0.056425548128340164
129,77,0.07734725438817704
104,123,0.060426259377368084
109,60,0.11455799946863529
149,72,0.137674731827891
91,4,0.0711376792613755
150,111,0.15248884876012822
75,52,0.06878954224291466
133,49,0.10211767703761171
90,108,0.07616250599172557
59,60,0.0692594029113513
126,54,0.08690514646453745
100,121,0.1120842106110616
155,3,0.07618830888959177
86,31,0.046509169230008564
153,96,0.15154719227183133
87,98,0.026657365217685837
100,74,0.1265647942110124
98,72,0.13571790894617558
138,54,0.08620195118355627
97,92,0.08728901256314309
123,139,0.0684446709307258
85,86,0.09074041738154075
104,109,0.10000585058372373
148,72,0.14466218029971037
141,76,0.112482501511095
126,127,0.11733883802492447
133,114,0.09522879154874378
96,62,0.14972891317701995
100,73,0.12898238602881829
148,62,0.0599920149796305
128,63,0.09506299239452662
120,136,0.03425487678445499
69,59,0.04699836956354547
99,9,0.06949888151671137
148,125,0.0908457921030048
80,112,0.09922923913240671
130,53,0.08650620261123866
77,106,0.09244443923034489
116,29,0.09877099482019144
114,38,0.1321304552210075
144,80,0.13846738893932825
115,13,0.07805133759228022
113,119,0.087300399232231915
75,39,0.05749426438798732
123,60,0.10194558186025339
89,33,0.06545291140777304
132,113,0.1186938718586912
141,104,0.12013845653041881
106,63,0.142711635605
94,93,0.057505918524486575
129,103,0.09197693338445195
57,50,0.09631655923980019
126,126,0.1215094764421468
155,2,0.08032221701227567
109,98,0.14237091577439534
129,121,0.17096795459832148
88,109,0.08498355457197744
133,62,0.08955484181619609
128,69,0.060039539674847646
105,124,0.055898686024077715
118,75,0.06612214659153776
103,86,0.12358245914910024
122,121,0.11707577458658046
123,99,0.13146875407021869
116,31,0.08499047080943688
114,120,0.0748274128978022
147,57,0.07523187211394389
68,40,0.08449520211022071
127,68,0.060026684480684385
149,87,0.13715874793765592
99,72,0.13803329088489344
145,58,0.09661745590744505
103,82,0.05856660456960577
143,79,0.1382412506199754
115,33,0.040775425810586005
142,53,0.12060435464900669
115,18,0.05132397576366797
64,57,0.06588989428086843
95,31,0.0841838691054519
154,101,0.178009343791956
90,83,0.035812079249841366
128,123,0.16712407578031763
148,85,0.13422286713054246
99,73,0.13528953307042443
100,114,0.1190269351655995
64,30,0.051894218763089826
85,22,0.04167536522759488
143,106,0.1014157401565214
102,75,0.1152155216740617
132,119,0.15207024897647478
118,38,0.13669087706742192
104,85,0.11708598367976329
142,74,0.1263147896468059
74,18,0.03288546668713584
132,57,0.055584788972331364
97,23,0.08011058277388686
113,118,0.09637069879548966
121,80,0.05996851503344405
104,26,0.07115319328408898
138,48,0.09640080563988636
106,132,0.09025917030526079
73,40,0.07093204939310759
101,18,0.04922872755359548
111,138,0.06873970388274282
102,126,0.08493830610490263
88,33,0.06804956606350833
118,114,0.10711701503783379
92,84,0.036047789833517925
97,19,0.04464757653049278
82,103,0.04700151715648062
114,69,0.12362839450886527
133,75,0.0860746071425011
93,5,0.0653847036364854
118,20,0.058786322541697265
62,75,0.05811359402285468
78,97,0.08735017637957557
136,116,0.07385441952268769
130,99,0.06536011451433328
139,101,0.11955009707050444
96,66,0.14796138185235405
112,39,0.13719400625837755
100,82,0.07067617113381626
115,111,0.14105716951891012
121,38,0.13346611922701102
113,130,0.046835491926626664
98,49,0.11356208394046699
66,53,0.06720914742070226
108,82,0.05928018456816525
93,10,0.02742992498435031
128,64,0.08858514136632603
89,25,0.05861499770808353
88,75,0.058566273867556994
97,90,0.1093853741742198
85,29,0.05563475280806927
95,26,0.0464359442003088
